Date,Name,Year,Letterboxd URI,Rating
2018-11-29,The Godfather,1972,https://boxd.it/2aNK,5
2018-11-29,The Sound of Music,1965,https://boxd.it/1T8g,4.5
2018-11-29,The Ten Commandments,1956,https://boxd.it/1T72,4
2018-11-29,Snow White and the Seven Dwarfs,1937,https://boxd.it/1T7g,4
2021-01-22,Soul,2020,https://boxd.it/jWnu,4.5
2021-01-22,The Trial of the Chicago 7,2020,https://boxd.it/kn3s,4
2021-01-22,Wonder Woman 1984,2020,https://boxd.it/e4Bg,3
2021-01-22,Mank,2020,https://boxd.it/gyf0,3.5
2021-01-22,Tenet,2020,https://boxd.it/kWAW,4
2021-01-22,Borat Subsequent Moviefilm,2020,https://boxd.it/nr7Q,4
2021-01-22,The Social Dilemma,2020,https://boxd.it/o2gq,4
2021-01-22,Enola Holmes,2020,https://boxd.it/jN9I,3.5
2021-01-22,Mulan,2020,https://boxd.it/jW9S,3
2021-01-22,The Old Guard,2020,https://boxd.it/j9b6,3.5
2021-01-22,Hamilton,2020,https://boxd.it/i7Eo,5
2021-01-22,The King of Staten Island,2020,https://boxd.it/lRS6,4
2021-01-22,The Vast of Night,2019,https://boxd.it/insg,4
2021-01-22,The Platform,2019,https://boxd.it/lS9M,4
2021-01-22,Parasite,2019,https://boxd.it/hTha,5
2021-01-22,Jojo Rabbit,2019,https://boxd.it/hL8Q,4.5
2021-01-22,1917,2019,https://boxd.it/jj4y,5
2021-01-22,Little Women,2019,https://boxd.it/aSVk,4.5
2021-01-22,The Lighthouse,2019,https://boxd.it/icFU,4
2021-01-22,Joker,2019,https://boxd.it/h4cS,4.5
2021-01-22,Ad Astra,2019,https://boxd.it/fyE8,4
2021-01-22,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2021-01-22,Spider-Man: Far from Home,2019,https://boxd.it/fGiO,4
2021-01-22,Toy Story 4,2019,https://boxd.it/fGi4,4
2021-01-22,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2021-01-22,Shazam!,2019,https://boxd.it/e6B2,3.5
2021-01-22,Captain Marvel,2019,https://boxd.it/e0yA,3.5
2021-01-22,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/e8vG,4
2021-01-22,Glass,2019,https://boxd.it/dWpc,3
2021-01-22,Aquaman,2018,https://boxd.it/ax7A,3.5
2021-01-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpU,5
2021-01-22,Roma,2018,https://boxd.it/f69M,4.5
2021-01-22,Bird Box,2018,https://boxd.it/eVTI,3.5
2021-01-22,Bumblebee,2018,https://boxd.it/fFQm,4
2021-01-22,Creed II,2018,https://boxd.it/fE8s,4
